Title,Author,URL
Ginsterburg,Arno Frank,<![CDATA[https://www.goodreads.com/review/show/7682997667?utm_medium=api&utm_source=rss]]>
Guldenberg,Christoph Hein,<![CDATA[https://www.goodreads.com/review/show/7682997328?utm_medium=api&utm_source=rss]]>
Dunkelblum,Eva Menasse,<![CDATA[https://www.goodreads.com/review/show/7682996695?utm_medium=api&utm_source=rss]]>
Unterleuten,Juli Zeh,<![CDATA[https://www.goodreads.com/review/show/7682996214?utm_medium=api&utm_source=rss]]>
A Spy at War (The Oxford Spy Ring Book 2),Charles    Beaumont,<![CDATA[https://www.goodreads.com/review/show/7673776255?utm_medium=api&utm_source=rss]]>
A Modern Economic History of Japan: Sho Ga Nai – It Is What It Is,Russell Jones,<![CDATA[https://www.goodreads.com/review/show/7673755001?utm_medium=api&utm_source=rss]]>
Old Kiln,Jia Pingwa,<![CDATA[https://www.goodreads.com/review/show/7654830696?utm_medium=api&utm_source=rss]]>
"The View from Ninety: Reflections on How to Live a Long, Contented Life",Charles B. Handy,<![CDATA[https://www.goodreads.com/review/show/7654830116?utm_medium=api&utm_source=rss]]>
The Story of the Stone: A Novel in Five Volumes,Cao Xueqin,<![CDATA[https://www.goodreads.com/review/show/2957648849?utm_medium=api&utm_source=rss]]>
Basilisk,Matt Wixey,<![CDATA[https://www.goodreads.com/review/show/7634334328?utm_medium=api&utm_source=rss]]>
Testimony (Kindle County Legal Thriller #10),Scott Turow,<![CDATA[https://www.goodreads.com/review/show/2046740836?utm_medium=api&utm_source=rss]]>
How to Get to Apocalypse and Other Disasters,Erica L. Satifka,<![CDATA[https://www.goodreads.com/review/show/7602323104?utm_medium=api&utm_source=rss]]>
Sweet Harmony,Claire North,<![CDATA[https://www.goodreads.com/review/show/7602320267?utm_medium=api&utm_source=rss]]>
Slum Online,Hiroshi Sakurazaka,<![CDATA[https://www.goodreads.com/review/show/7602318043?utm_medium=api&utm_source=rss]]>
"Destroying Angel (The Carlucci Trilogy, #1)",Richard Paul Russo,<![CDATA[https://www.goodreads.com/review/show/7602316636?utm_medium=api&utm_source=rss]]>
Out of the Dark (Jensen #4),Heidi Amsinck,<![CDATA[https://www.goodreads.com/review/show/7596882415?utm_medium=api&utm_source=rss]]>
The Doorman,Chris  Pavone,<![CDATA[https://www.goodreads.com/review/show/7596879507?utm_medium=api&utm_source=rss]]>
Red Water,Jurica Pavičić,<![CDATA[https://www.goodreads.com/review/show/7596877448?utm_medium=api&utm_source=rss]]>
Cause for Alarm,Eric Ambler,<![CDATA[https://www.goodreads.com/review/show/7587153708?utm_medium=api&utm_source=rss]]>
Wir Ostpreußen: Eine ganz gewöhnliche deutsche Familiengeschichte | 80 Jahre nach der Flucht: eine Reise zurück. (German Edition),Jochen Buchsteiner,<![CDATA[https://www.goodreads.com/review/show/7583863710?utm_medium=api&utm_source=rss]]>
"We Are All Guilty Here (North Falls, #1)",Karin Slaughter,<![CDATA[https://www.goodreads.com/review/show/7577764965?utm_medium=api&utm_source=rss]]>
The Darkest Winter,Carlo Lucarelli,<![CDATA[https://www.goodreads.com/review/show/7577764259?utm_medium=api&utm_source=rss]]>
"Never Flinch (Holly Gibney, #4)",Stephen  King,<![CDATA[https://www.goodreads.com/review/show/7577762773?utm_medium=api&utm_source=rss]]>
Measuring the World,Daniel Kehlmann,<![CDATA[https://www.goodreads.com/review/show/7577684439?utm_medium=api&utm_source=rss]]>
Tyll,Daniel Kehlmann,<![CDATA[https://www.goodreads.com/review/show/7577684111?utm_medium=api&utm_source=rss]]>
